Escola;Distrito;Tipo de ensino;Tipo de escola;Vertente no secundário;Latitude;Longitude
Escola Básica e Secundária Tomás de Borba;Açores;Ensino Secundário com Artes Visuais;Pública;Artes visuais;38.662157;-27.2450609
Escola Secundária Francisco Franco;Madeira;Ensino Secundário com Artes Visuais;Pública;Artes visuais;32.6520562;-16.9075117
Escola Básica e Secundária de Machico;Madeira;Ensino Secundário com Artes Visuais;Pública;Artes visuais;32.7251266;-16.7730328
Externato Cooperativo da Benedita;Leiria;Ensino Secundário com Artes Visuais;Privada;Artes visuais;39.4265818;-8.9845654
Salesianos de Lisboa - Colégio Oficinas de São José;Lisboa;Ensino Secundário com Artes Visuais;Privada;Artes visuais;38.7137612;-9.1714121
Colégio do Amor de Deus;Lisboa;Ensino Secundário com Artes Visuais;Privada;Artes visuais;38.7139516;-9.4214096
Escola Portuguesa de Macau;Estrangeiro;Ensino Secundário com Artes Visuais;Privada;Artes visuais;22.1911367;113.5398222
Escola Artística Soares dos Reis;Porto;Escola artística;Pública;Artes visuais;41.1587091;-8.5975979
Escola Artística António Arroio;Lisboa;Escola artística;Pública;Artes visuais;38.7362849;-9.1300386
Escola Artística do Conservatório de Música de Coimbra;Coimbra;Escola artística;Pública;Artes performativas;40.1933655;-8.4099169
Escola Artística do Instituto Gregoriano de Lisboa;Lisboa;Escola artística;Pública;Artes performativas;38.7489663;-9.1529185
